id,employee_id,title,description,category,completed,due_date
"05a9237d-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Submit ID proof","Upload Aadhaar or Passport copy","documents",1,"2026-09-06"
"05a957d0-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Sign offer letter","Digitally sign and return","documents",0,"2026-09-06"
"05a97920-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Complete HR induction","Attend the 2-hour HR orientation session","orientation",0,"2026-09-08"
"05a98fc4-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Set up laptop & email","Configure work email and install tools","setup",0,"2026-09-09"
"05a9ae8b-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Complete security training","Finish mandatory cybersecurity course","training",0,"2026-09-21"
"05a9c170-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Meet your team","Introductory 1:1 with each team member","orientation",0,"2026-09-16"
"05a9d481-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Complete Angular basics","Finish the internal Angular training module","training",0,"2026-09-26"
"05a9e9b0-a6b9-11f1-a231-465b916e9dcd","d1def2c3-64db-4fad-82dd-cc5622bfe14c","Set up DevOps access","Request and verify access to project boards","setup",0,"2026-09-19"
"8dd743d0-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Submit ID proof","Upload Aadhaar or Passport copy","documents",1,"2026-06-04"
"8dd74ac0-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Sign offer letter","Digitally sign and return","documents",1,"2026-06-04"
"8dd74eae-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Complete HR induction","Attend the 2-hour HR orientation session","orientation",1,"2026-06-06"
"8dd7500e-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Set up laptop & email","Configure work email and install tools","setup",1,"2026-06-07"
"8dd7511d-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Complete security training","Finish mandatory cybersecurity course","training",0,"2026-06-19"
"8dd75229-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Meet your team","Introductory 1:1 with each team member","orientation",0,"2026-06-14"
"8dd75326-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Complete Angular basics","Finish the internal Angular training module","training",0,"2026-06-24"
"8dd753fe-a137-11f1-bb6e-72858e6b4440","018b14e5-9f5b-7b00-88cb-e389e6e88e24","Set up DevOps access","Request and verify access to project boards","setup",0,"2026-06-17"
